id,planet,house,sign,keywords,reading,is_positive,source_month,source_sign
1,太阳,10,摩羯座,"事业,荣誉,成就,新开始",12月30日发生在摩羯座的新月点亮了你星盘最顶端掌管荣誉、奖励和成就的第十宫。你的职业生活似乎翻开了新的篇章，可能会开始一份重要的新工作，或在现有岗位上被赋予新的职责。,TRUE,2025-01,白羊座
2,新月,10,摩羯座,"事业,长期影响,工作保障",这次新月对你的影响不是一天或一周，而是未来六个月。新月刚出现时会产生最强烈的震动，然后在六个月内逐渐减弱。,TRUE,2025-01,白羊座
3,土星,10,摩羯座,"稳定,长期合作,事业基础",土星，这颗稳定的行星，将处于鼓励你与新雇主建立长期合作关系的理想位置。土星是影响你事业的最主要行星。,TRUE,2025-01,白羊座
4,火星,5,狮子座,"爱情,创意,浪漫,逆行",本月开始时，你的主宰星火星仍将在你的爱情宫逆行。在这几周里，你的想象力和创造力得到了绝佳的绽放机会。你的心思可能在娱乐项目上，但也可能在浪漫上。,FALSE,2025-01,白羊座
5,火星,4,巨蟹座,"家庭,住所,家人,行动",1月6日火星将移至巨蟹座，进入你的家庭宫，并在那里停留数月。保持家中的正常运转将是当务之急。本月火星都会出界，而且表现得很强势。,TRUE,2025-01,白羊座
6,木星,3,双子座,"短途旅行,兄弟姐妹,沟通,社交",木星位于你的第三宫，也掌管着兄弟姐妹。亲朋好友会给你发来便条、信件、短信和电话，其中一些一定会让你感到温暖。可能会有一次短途旅行。,TRUE,2025-01,白羊座
7,天王星,2,金牛座,"财务,惊喜,逆行结束,资金",天王星自9月1日开始逆行，将于1月30日转为顺行，可能会释放你等待已久的资金。天王星位于你的收入第二宫，你可能得到有关金钱的好消息。,TRUE,2025-01,白羊座
8,冥王星,10,摩羯座,"权力,控制,职业变革",火星与冥王星对冲已久，1月上半月仍将处于对冲状态。你似乎遇到了一两个难缠的上司或客户，他们自我陶醉，寸步不让。,FALSE,2025-01,白羊座
9,金星,1,白羊座,"魅力,吸引力,美丽,爱情",温柔迷人的金星将于2月4日进入白羊座，在你的星座停留一整月。白羊座中，金星会提升你的魅力和吸引力，让你更有自信。这是改善外貌、吸引爱情的良好时机。,TRUE,2025-02,白羊座
10,火星,4,巨蟹座,"家庭,住所,逆行,调整",火星在巨蟹座进行一次特别漫长的旅行，使你的实际住所、房产成为焦点。本月火星与土星形成良好角度，表明你似乎正在制定一个与家庭相关的计划，将带来强烈的稳定感和安全感。,TRUE,2025-02,白羊座
11,木星,11,双子座,"社交,友谊,机遇,梦想",1月29日水瓶座的新月为你带来一股清新的气息，出现在你掌管乐趣、友谊和社交活动的第十一宫。木星与太阳和新月形成理想的和谐相位，你会结识新朋友，工作压力也会减轻。,TRUE,2025-02,白羊座
12,天王星,2,金牛座,"财务,惊喜,恢复顺行,转变",2月4日木星将恢复顺行。天王星位于你的财务宫，如果你觉得自己一直在努力工作但没有看到希望中的进展，那么这个月末天王星恢复顺行，你很容易就能看到事态出现了转变。,TRUE,2025-02,白羊座
13,土星,12,双鱼座,"潜意识,独处,反思,创造力",2月27日的双鱼座新月时，你可能想要蜷缩在家中，反思近期发生的事情。土星与太阳合相，你可能会感到既要让家庭生活井井有条，又要专注于事业的压力。回顾一下你迄今为止所取得的成就，这很可能会是一份令人印象深刻的清单。,TRUE,2025-02,白羊座
14,满月,5,狮子座,"爱情,孩子,创意,意外",2月12日狮子座满月会照亮你代表真挚持久爱情的第五宫。不过，意外的天王星可能会带来一个不受欢迎的意外消息。这可能意味着你的爱情生活会出现意想不到的问题，或者你需要帮助你的一个孩子。,FALSE,2025-02,白羊座
15,太阳,12,双鱼座,"独处,反思,精神健康,潜意识",五星齐聚双鱼座和你的十二宫，真是静下心来回顾过往、展望未来的好时光。十二宫通常和精神健康有关，可能会有白羊在上半月里和医疗专家频繁聚头。,TRUE,2025-03,白羊座
16,水星,12,双鱼座,"逆行,回顾,沟通,合同",水星在3月14日到4月7日逆行，初始在白羊座，随后逆行到双鱼座。现在是回头看、复盘过去的时候，不是做新开始决定的时机。,FALSE,2025-03,白羊座
17,金星,1,白羊座,"逆行,美丽,爱情,外貌",金星的逆行从3月1日开始持续到4月12日。金星逆行不是在外貌上作出重大改变的时机，无论是发型突变还是脸部填充都不合适。,FALSE,2025-03,白羊座
18,满月,6,处女座,"工作,健康,细节,收尾","3月13日处女座满月带来了某个复杂而细碎工作任务的收尾。满月还会带来健康课题，有什么""宕机""情况，记得寻求医生建议。",TRUE,2025-03,白羊座
19,新月,1,白羊座,"新开始,自我,方向改变,日食",3月29日白羊座新月日食意味着会有生活方向的变化，同时开启了一段新的旅程。新的篇章正是你们内心最深渴望的呈现，而现在它就到来了，比预计的还要快。,TRUE,2025-03,白羊座
20,木星,3,双子座,"短途旅行,兄弟姐妹,沟通",在新月期间，木星让你们有机会在3月末来一次短途的旅行。变幻的景色，适宜而奢华的居住环境，以及美好的相遇，都值得期待。,TRUE,2025-03,白羊座
21,新月,9,摩羯座,"海外旅行,学习,出版,法律",12月30日新月出现在摩羯座，点亮了你的第九宫。这次新月非常适合出城放松玩乐，还有机会见到朋友。你可能会飞去海外的大城市，或者开始做新年计划。,TRUE,2025-01,金牛座
22,木星,2,双子座,"收入,财务,幸运,资源",木星还在象征收入的第二宫运行，他蓄势待发。如果你努力赢下了更好的工作，随之而来的可能就是更高的薪水和更慷慨的福利待遇。,TRUE,2025-01,金牛座
23,火星,3,巨蟹座,"沟通,旅行,学习,思维",1月6日火星会退回到巨蟹座。巨蟹座象征家和家人，但也会激发你对旅行的渴望，可能会鼓励你周末去离家不远的地方转转。,TRUE,2025-01,金牛座
24,新月,10,水瓶座,"事业,晋升,荣耀,成就",1月29日水瓶座新月会点亮你的第十宫，象征着荣耀、嘉奖和事业成就。这段时间，事业进展会让你非常满意。你可能会因为过去的表现受到褒奖，也可能会获得好公司的重要职位。,TRUE,2025-01,金牛座
25,天王星,1,金牛座,"自我,转变,独立,恢复顺行",1月30日天王星恢复顺行。天王星自去年9月1日开始逆行，如果你一直在寻找新的工作岗位或希望获得提升，恢复顺行的天王星会给你很大的帮助。,TRUE,2025-01,金牛座
26,新月,8,摩羯座,"财务,投资,债务,他人钱财",12月30日摩羯座新月照亮了你代表他人钱财的宫位。这次新月促使你在进入新的一年时准备好清白的财务状况。你会做最后的账目记录，为2024年划上句号。,TRUE,2025-01,双子座
27,木星,1,双子座,"自我,幸运,成长,魅力",好运的木星仍在双子座，在2025年6月9日之前都会继续眷顾你。这是你的绿翡翠之年，因为木星每12年才会光顾你的星座一年，所以要对出现的机会保持警惕。,TRUE,2025-01,双子座
28,土星,10,双鱼座,"事业,责任,长期规划,声誉",土星正在你的第十宫事业宫运行，教导你更新和改变赚钱方法的价值。1月13日满月时，土星会发出一束闪亮的直接光束，增加你的机会，带来新业务或加薪。,TRUE,2025-01,双子座
29,满月,2,巨蟹座,"收入,财务结束,安全感",1月13日巨蟹座满月时，你将结束对财务的关注。如果有人欠你钱，钱应该会来找你。这次满月将与掌管奇迹的吉星木星成三分相。,TRUE,2025-01,双子座
30,新月,9,水瓶座,"长途旅行,国际,学习,法律",1月29日水瓶座新月在你掌管长途旅行和国际关系的第九宫闪耀。你可能会有一次激动人心的海外旅行，或者与外国客户合作一个项目。,TRUE,2025-01,双子座
31,火星,2,巨蟹座,"支出,收入,动力,消费",火星于1月6日进到巨蟹座，将在该星座停留至4月17日。火星在巨蟹座可能会增加你的开支，但也会激励你赚更多的钱。,TRUE,2025-01,双子座
