id,planet,sign,reading,source_month
1,木星,巨蟹座,积极进展，尽管目前这些迹象可能还不那么明显。6月 25 日，木星——这颗馈赠与幸运之星，与你明亮的守护星太阳、新月在巨蟹座中形成合相。美好的事正在悄悄发生，也许是在幕后，或是在不为人知的角落，还没有真正展露在你或众人眼前。你需要耐心等待。对你的未来起着重要作用的贵人或高层已经在私下对你的表现赞赏有加，只是你可能还没有察觉到他们对你的高度评价。 此刻你似乎正处...,2025-07
2,天王星,金牛座,也将开始迎来一连串的好运。 7月，代表惊喜与不可预测事件的天王星，将从沉重的土象星座金牛座移入轻盈、灵动的风象星座双子座。在金牛座的这七年间（自2018年11月至今），天王星一直驻守在你的事业宫【译注：第十宫】，期间带来了一些令人惊喜、美好愉快的事业转机，但也伴随着一些令人沮丧的挫折。天王星是一颗极端的行星，它带来的事件既有大起也有大落，从劫难到奇遇，都有可...,2025-07
3,天王星,双子座,，它在新居所双子座时，对太阳的影响会更友好、更积极。 今年天王星只会在7 月 7 日~11 月 7 日停留在双子座，随后它会逆行回你的第十宫，（这个宫位代表事业发展、声望成就），所以在年底，它还可以对你的事业再起到一波作用，天王星到了宫尾时，往往不会再表现得那么强势艰难了。2026 年 4 月 25 日，天王星将重返双子座和第十一宫，并停留7年之久。这太令人...,2025-07
4,太阳,巨蟹座,得木星的吉运与助力能够持续影响接下来的数周甚至数月。 你由太阳守护，而彼时太阳与木星在巨蟹座中只相距微小的度数（在360度中几乎贴合），整体星象格局堪称理想。太阳、新月与木星这三大星体同时落入你星盘中最隐秘的第十二宫。月初你会进入规划、筹备的状态，这正是一个很好的利用新月的方式。看起来你会特别乐观，这种积极情绪是有充分理由的。你的直觉将变得高度敏锐，所以不要...,2025-07
5,水星,狮子座,次满月就是好时机。 另外，别拖延手头的项目或签署文件，因为水星将在7月18日~8月10日期间逆行。这次水逆发生在狮子座，所以你可能会比平常更明显地感受到水逆的影响。应对水逆的最佳方式是：凡事多思考，行动谨慎。放慢节奏，避免匆忙，因为在匆匆忙忙的时候，我们很容易忘事，弄丢一些重要又有价值的东西，比如你的手机、电脑、平板、眼镜、太阳镜、钱包，或其他宝贝。 匆忙之...,2025-07
6,水星,水瓶座,。这时可以制定计划，为下个月的行动做好准备。 尽管8月9日水星仍在逆行，但当天满月将出现在水瓶座，这非常棒。你可以准备好，届时向家人、朋友、外界发布某个新产品、新服务，或是公布一项个人重要决定。水星将在8月10日（纽约时间下午3:28）恢复顺行，所以在满月那天，水星已经非常接近顺行的状态了。 在做出与你有关的预测时，我不仅仅是看某一个相位，而是看星象的整体格...,2025-07
7,金星,狮子座,金星只有4°的位置运行。从6月5日开始，这两颗行星将共同位于狮子座，也就是巨蟹的财务宫。金星与金钱/奢侈有关，她和她在狮子座内的爱人都将处于更有利的位置来帮助你解决财务问题。巨蟹确实很有吸引力，能吸引赚钱的机会，但要靠自己去寻找。 7月22日到9月3日金星将在狮子座内逆行，这对金星来说是罕见的，她每18个月才逆行6周左右，所以你不习惯金星逆行。在金星逆行期间...,2023-06
8,金星,金牛座,金逆也不是要求加薪的好时机，最好在6月就搞定。 我知道听到金星逆行的这些消息会让你失望。尽管如此，巨蟹现在依然有很多值得庆祝的好运，因为木星在金牛座。5月16日，木星还在白羊座，帮助你在事业上确立自己的赢家地位。突然间，所属行业的人开始关注你，有些人想知道你成功的秘诀。你是怎么做到这么好的?没有人要求你必须分享这一秘密——努力工作和真诚地关心他人是如此高效的...,2023-06
9,木星,白羊座,现在依然有很多值得庆祝的好运，因为木星在金牛座。5月16日，木星还在白羊座，帮助你在事业上确立自己的赢家地位。突然间，所属行业的人开始关注你，有些人想知道你成功的秘诀。你是怎么做到这么好的?没有人要求你必须分享这一秘密——努力工作和真诚地关心他人是如此高效的关键。没有这种素养的人，永远也不会理解你的，好好享受鲜花和掌声吧，亲爱的巨蟹座。 现在木星在金牛座，一...,2023-06
10,木星,金牛座,也不会理解你的，好好享受鲜花和掌声吧，亲爱的巨蟹座。 现在木星在金牛座，一直到2024年5月25日，这一年的时间里，巨蟹将有更多的机会享受生活。爱情、长途旅行、放松、和孩子在一起玩耍，这些都是你最看重的。但是要先度过金星7月22日到9月3日的逆行期，所以那段时间要努力保持现状。请记住，9月到2024年5月的大部分时间，宇宙会为你带来更多的乐趣和回报。今年和明...,2023-06
11,土星,射手座,及7月初这段时间。射手座的主宰星木星正在金牛座，与双鱼座内的土星完美联合。今年这一星象是唯一也是最后一次，未来几年都不再有。因为我们没有太多这样的经历，所以越罕见射手就越能感受到它的能量。土星在射手座的家宅宫，我之前提到过，土星提醒射手座，要给予家庭成员更多的关爱和照顾，或者给自己的家更多的关注。比如，你可能会存钱，或者购置自己的第一处房产，并从中学到不少知...,2023-06
